product_id,seller,processor,gen,ram,storage_size,storage_type,screen_size,refurbished_status,brand,model_family,laptop_model,price,price_before_discount,discount_pct,scraped_at
1291485,Wynn Enterprise,Core I5,,8.0,512.0,Ssd,,Renewed,Lenovo,Thinkpad,T460S,24960.0,32000.0,22.0,2026-01-26 17:26:33
325392384,Jultech Technologies,Core I5,10.0,16.0,512.0,Ssd,14.0,Refurbished,Hp,Probook,440,36500.0,50000.0,27.0,2026-01-26 17:26:34
153689290,Charlie Chan,Core I5,,8.0,256.0,Ssd,12.5,Renewed,Lenovo,Thinkpad,X260,15487.0,28000.0,45.0,2026-01-26 17:26:35
326150328,Dansie Enterprise,Core I5,,8.0,,,14.0,Refurbished,,Thinkpad,T450,18499.0,21999.0,16.0,2026-01-26 17:26:36
326009923,Zetcomcomputers,Core I7,11.0,16.0,512.0,Ssd,13.3,,Hp,Elitebook,830,46000.0,70000.0,34.0,2026-01-26 17:26:38
265326160,Hameda Technologies,Core I5,,8.0,500.0,Hdd,,Refurbished,Hp,Elitebook,840,19999.0,43998.0,55.0,2026-01-26 17:26:38
325603270,Hameda Technologies Shop,Core I5,,8.0,258.0,Ssd,11.6,Refurbished,Hp,Probook,X360,20499.0,28999.0,29.0,2026-01-26 17:26:39
310957707,Digitalsmart  Print,,,8.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,Yoga,19500.0,30000.0,35.0,2026-01-26 17:26:40
325576728,Computer Spot Kenya,Core I5,,8.0,256.0,Ssd,13.0,,Apple,Macbook,Pro,18600.0,24000.0,23.0,2026-01-26 17:26:41
314924479,Zetcomcomputers,Core I5,,8.0,256.0,Ssd,,Refurbished,,,,20805.0,34600.0,40.0,2026-01-26 17:26:42
294202970,Neileys  Technologies,Core I5,8.0,16.0,,,14.0,Refurbished,,Elitebook,840,34500.0,36000.0,4.0,2026-01-26 17:26:43
320883119,Mictouch Technology Limited,Core I5,8.0,16.0,256.0,Ssd,11.0,Refurbished,Dell,Latitude,,26999.0,35000.0,23.0,2026-01-26 17:26:44
265321925,Hameda Technologies,Core I5,,8.0,256.0,Ssd,12.6,Refurbished,Hp,Elitebook,820,18999.0,38998.0,51.0,2026-01-26 17:26:45
156060420,Maxports Merchants Limited,,7.0,8.0,256.0,Ssd,,Refurbished,Hp,,,20500.0,32600.0,37.0,2026-01-26 17:27:16
325893961,Megacomps Ict Hub,Core I7,9.0,16.0,512.0,Ssd,,,Dell,,,47500.0,82000.0,42.0,2026-01-26 17:27:17
188191005,Westside Computer Hub,Core I5,,16.0,256.0,Ssd,14.0,Refurbished,Hp,Probook,Laptop,20999.0,23000.0,9.0,2026-01-26 17:27:18
304655964,Mictouch Technology Limited,Core I5,8.0,16.0,,,14.0,Refurbished,Hp,Elitebook,840,31999.0,36000.0,11.0,2026-01-26 17:27:19
309737070,Mobi Stores,Core I5,6.0,8.0,256.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,22499.0,30000.0,25.0,2026-01-26 17:27:20
325918656,Lawre Digital Solutions,Core I5,,8.0,256.0,Ssd,12.5,,Lenovo,Thinkpad,X250,16149.0,20000.0,19.0,2026-01-26 17:27:21
326636316,Laptop Hub Limited,Core I7,,8.0,256.0,Ssd,12.5,Refurbished,Dell,Latitude,,18500.0,20000.0,8.0,2026-01-26 17:29:21
325606408,Tech Shopit,,,8.0,256.0,Ssd,11.6,Refurbished,Hp,Probook,X360,21499.0,25000.0,14.0,2026-01-26 17:29:23
325927107,Disktech Systems,Core I5-7300U,,8.0,256.0,Ssd,12.5,Refurbished,Dell,Latitude,,17999.0,21000.0,14.0,2026-01-26 17:29:24
325397766,Jultech General Supplies,Core I5-10210U,,16.0,,,14.0,Refurbished,Hp,Probook,440,37500.0,48000.0,22.0,2026-01-26 17:29:55
314968645,Global Tech Kenya,Core I5,6.0,8.0,256.0,Ssd,12.5,,Lenovo,Thinkpad,Yoga,25999.0,28000.0,7.0,2026-01-26 17:29:56
10025990,Digitalsmart  Print,Core I5,,8.0,256.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,21000.0,30000.0,30.0,2026-01-26 17:29:57
309737592,Mobi Stores,Core I5,,8.0,500.0,Hdd,14.0,Refurbished,Hp,Elitebook,840,16499.0,28000.0,41.0,2026-01-26 17:29:58
325369645,Techovant Solutions Limited,Celeron N,,8.0,256.0,Ssd,15.6,,Lenovo,Ideapad,,36999.0,40000.0,8.0,2026-01-26 17:29:59
325513610,Mictouch Technology Limited,Ryzen 5,,16.0,256.0,Ssd,14.0,Refurbished,Hp,Elitebook,845,29999.0,35000.0,14.0,2026-01-26 17:30:01
1337386,Ubuntu Technologies Kenya,Core I5,,16.0,,,13.3,,Hp,Elitebook,830,28829.38,46499.0,38.0,2026-01-26 17:30:02
325659392,Tech Shopit,,,4.0,128.0,Ssd,11.6,Refurbished,Hp,Probook,X360,15499.0,19000.0,18.0,2026-01-26 17:30:03
325671707,Novetech Supplies,Core I5-8365U,8.0,8.0,256.0,Ssd,14.0,Refurbished,Dell,Latitude,,25999.0,,,2026-01-26 17:31:04
168207835,Symtech Enterprises,Core I5,,16.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,T490-,30000.0,,,2026-01-26 17:32:05
239979303,Mictouch Technology Limited,Core I5-8Gb,6.0,8.0,256.0,Ssd,13.0,Refurbished,Dell,Latitude,,16999.0,28000.0,39.0,2026-01-26 17:32:05
8354965,Digitalsmart  Print,Celeron 4Gb,,4.0,128.0,Ssd,11.6,,Lenovo,Thinkpad,Yoga,16500.0,30000.0,45.0,2026-01-26 17:32:06
324312274,Betty Tech Computers,Core I5,,8.0,256.0,Ssd,12.5,Refurbished,,Elitebook,820,16499.0,19999.0,18.0,2026-01-26 17:32:07
1474128,Dansie Enterprise,Core I5,,8.0,500.0,Hdd,14.0,Refurbished,,Elitebook,840,16799.440000000002,29999.0,44.0,2026-01-26 17:32:08
9592792,Vertex Innovation Hub,Core I5,,8.0,256.0,Ssd,14.0,Refurbished,Lenovo,Thinkpad,T460S,22680.0,27000.0,16.0,2026-01-26 17:32:09
326505852,Wain Collection,Core I5,7.0,8.0,256.0,Ssd,12.5,Refurbished,Hp,Elitebook,820,22999.0,30000.0,23.0,2026-01-26 17:32:10
325893511,Neiley Technologgies,Core I5,6.0,8.0,256.0,Ssd,14.0,Refurbished,Lenovo,Thinkpad,T460S,20000.0,22000.0,9.0,2026-01-26 17:32:10
7582291,Digitech Computers,Core I7,,8.0,,,,Refurbished,,Elitebook,820,21999.0,40000.0,45.0,2026-01-26 17:32:11
325430829,Digital Link Computers,Core I5,,8.0,,,13.3,Refurbished,Hp,Elitebook,830,26000.0,33000.0,21.0,2026-01-26 17:32:12
1474094,Wasini Technologies,Core I5,,8.0,256.0,Ssd,12.5,Refurbished,Dell,Latitude,,17020.0,23000.0,26.0,2026-01-26 17:32:13
1556230,Wasini Technologies,Core I5,5.0,8.0,,,,Refurbished,Hp,Elitebook,840,19500.0,30000.0,35.0,2026-01-26 17:32:15
325266354,Badar Computers,Core I5,6.0,8.0,256.0,Ssd,14.0,Refurbished,Hp,Elitebook,Touch,26000.0,35000.0,26.0,2026-01-26 17:32:16
9993129,Cray Computer Technologies,,,8.0,,,12.5,Refurbished,Lenovo,,,16500.0,20000.0,18.0,2026-01-26 17:32:17
321114733,Kentouch Kenya,Ryzen 5,,16.0,512.0,Ssd,14.0,Refurbished,Hp,Elitebook,745,34900.0,40000.0,13.0,2026-01-26 17:32:18
312651470,Laptop Clinic,Core I3-7100U,,8.0,256.0,Ssd,12.0,Refurbished,,,,19000.0,,,2026-01-26 17:33:20
320883158,Mictouch Technology Limited,Core I5,8.0,16.0,512.0,Ssd,11.0,Refurbished,Dell,Latitude,,29999.0,36000.0,17.0,2026-01-26 17:33:21
9539805,Tech Shopit,,,8.0,256.0,Ssd,,Refurbished,Hp,Probook,X360,22000.0,25000.0,12.0,2026-01-26 17:33:22
326009887,Zetcomcomputers,Core I5,8.0,8.0,256.0,Ssd,14.0,Refurbished,,Elitebook,840,26600.0,48000.0,45.0,2026-01-26 17:33:23
325259378,Zetcomcomputers,Core I5,8.0,8.0,256.0,Ssd,12.5,Refurbished,,Thinkpad,X280,19475.0,29000.0,33.0,2026-01-26 17:33:24
325259715,Zetcomcomputers,Core I5-8Gb,7.0,8.0,256.0,Ssd,13.0,Refurbished,,Latitude,,17480.0,28700.0,39.0,2026-01-26 17:33:25
325518701,Badar Computers,Core I7-8250U,,16.0,512.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,39000.0,45000.0,13.0,2026-01-26 17:33:27
326183553,Laptops World Ltd,Core I5,4.0,8.0,256.0,Ssd,14.0,Refurbished,Dell,Latitude,,15000.0,22000.0,32.0,2026-01-26 17:33:28
325483480,Digital Link Computers,Celeron 4Gb,,4.0,128.0,Ssd,11.6,Refurbished,Lenovo,,,15000.0,,,2026-01-26 17:34:28
9525860,Digitalsmart  Print,Core I5,6.0,8.0,128.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,25600.0,40000.0,36.0,2026-01-26 17:34:30
319390995,Twendy,Core I7,,8.0,256.0,Ssd,12.5,Refurbished,Lenovo,Thinkpad,X260,18999.0,31679.0,40.0,2026-01-26 17:34:31
325691582,Vertex Innovation Hub,Core I5-6Th,6.0,16.0,256.0,Ssd,,Refurbished,Hp,Elitebook,16Gb,26999.0,35000.0,23.0,2026-01-26 17:34:31
310920897,Ubuntu Technologies Kenya,,,8.0,256.0,Ssd,,,Dell,Latitude,,18989.0,24000.0,21.0,2026-01-26 17:34:32
325039903,Hameda Technologies Shop,Core I5,,8.0,,,13.3,Refurbished,Hp,Elitebook,830,24499.0,29999.0,18.0,2026-01-26 17:34:33
264785610,Cray Computer Technologies,Core I5,,8.0,750.0,Hdd,14.0,Refurbished,Hp,Elitebook,750Gb,19999.0,30000.0,33.0,2026-01-26 17:34:34
315922287,Laptop Clinic,Core M3-6Y,,4.0,,,12.5,Refurbished,Asus,,,18000.0,,,2026-01-26 17:35:35
325369686,Techovant Solutions Limited,Celeron N,,8.0,256.0,Ssd,15.6,,Lenovo,Ideapad,,39999.0,45000.0,11.0,2026-01-26 17:35:36
319413474,Digitalsmart  Print,Core I5,,8.0,,,14.0,Refurbished,Hp,Elitebook,8460P,16899.0,22000.0,23.0,2026-01-26 17:35:37
325627020,Novetech Supplies,Core I5-8350U,8.0,16.0,256.0,Ssd,14.0,Refurbished,Dell,Latitude,,20999.0,,,2026-01-26 17:36:38
210354013,Disktech,Core I5-8350U,,8.0,256.0,Ssd,12.5,Refurbished,Lenovo,Thinkpad,X280,25000.0,38000.0,34.0,2026-01-26 17:36:39
322650578,Zetcomcomputers,Core I5,8.0,8.0,256.0,Ssd,,,,Latitude,,19950.0,35000.0,43.0,2026-01-26 17:36:40
309137737,Neileys  Technologies,Core I7,6.0,8.0,256.0,Ssd,14.0,,,Elitebook,840,25000.0,26000.0,4.0,2026-01-26 17:36:41
309138821,Neileys  Technologies,Core I7,6.0,16.0,256.0,Ssd,14.0,,,Elitebook,840,26500.0,27000.0,2.0,2026-01-26 17:36:41
325235947,Neileys  Technologies,Core I5,4.0,8.0,256.0,Ssd,,Refurbished,,Elitebook,840,19500.0,20000.0,3.0,2026-01-26 17:36:42
306608779,Neileys  Technologies,Core I5,,8.0,500.0,Hdd,12.5,,,,,15000.0,18000.0,17.0,2026-01-26 17:36:43
326398873,Laptops World Ltd,Core I5,10.0,16.0,256.0,Ssd,14.0,,Lenovo,Thinkpad,T14S,40000.0,,,2026-01-26 17:37:44
325696379,Suitech,Core I5,,8.0,250.0,Ssd,13.0,Refurbished,Apple,Macbook,Pro,28499.0,57800.0,51.0,2026-01-26 17:39:04
1857524,Charliehub254,Core I5,,8.0,500.0,Hdd,13.0,Refurbished,Apple,Macbook,Pro,18698.0,35000.0,47.0,2026-01-26 17:39:05
9459861,Wynn Enterprise,Core I5,,8.0,500.0,Hdd,,Refurbished,Hp,Elitebook,820,16000.0,20000.0,20.0,2026-01-26 17:39:06
326556291,Dansie Enterprise,Core I5,,8.0,500.0,Hdd,13.0,Refurbished,,Macbook,Pro,18699.0,23999.0,22.0,2026-01-26 17:39:08
8354908,Charliehub254,Core I5-8Th,8.0,8.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,X390,25900.0,35000.0,26.0,2026-01-26 17:39:10
325885091,Slimtech System,,,8.0,256.0,Ssd,14.0,Refurbished,Hp,Probook,640,21000.0,27000.0,22.0,2026-01-26 17:39:42
325735520,Novetech Supplies,Ryzen 7,,16.0,512.0,Ssd,13.3,Refurbished,Hp,Probook,X360,44000.0,,,2026-01-26 17:40:45
325714281,Smartcomputers,Ryzen 7,,16.0,256.0,Ssd,,,Hp,Elitebook,,28300.0,40000.0,29.0,2026-01-26 17:40:46
224107,Dansie Enterprise,Core I5,,8.0,,,11.6,Refurbished,,,,20998.0,28500.0,26.0,2026-01-26 17:40:47
9540295,Digitech Computers,Core I5,,16.0,256.0,Ssd,,Refurbished,Hp,Elitebook,820,18750.0,25000.0,25.0,2026-01-26 17:40:48
325682630,Novetech Supplies,Ryzen 5,,16.0,512.0,Ssd,14.0,Refurbished,Hp,Elitebook,845,37000.0,,,2026-01-26 17:41:49
325949183,Suitech,Core I5,,8.0,258.0,Ssd,11.6,Refurbished,Hp,Probook,X360,19500.0,36000.0,46.0,2026-01-26 17:41:51
325741183,Novetech Supplies,Core I5-8365U,,8.0,256.0,Ssd,14.0,Refurbished,Dell,Latitude,,25000.0,,,2026-01-26 17:42:52
314716813,Novetech Supplies,Core I7,8.0,16.0,512.0,Ssd,13.3,Refurbished,Hp,Elitebook,X360,42999.0,,,2026-01-26 17:43:53
9127625,Erick Enterprise,Core I5,6.0,8.0,256.0,Ssd,12.5,Renewed,Hp,Elitebook,820,21000.0,35000.0,40.0,2026-01-26 17:43:54
309737832,Mobi Stores,Core I5,,8.0,256.0,Ssd,,Refurbished,Hp,Elitebook,840,27890.0,35000.0,20.0,2026-01-26 17:43:56
264886549,Lantel  System,Core I5,6.0,8.0,,,14.0,Refurbished,Hp,Elitebook,840,25999.0,40000.0,35.0,2026-01-26 17:43:57
325950907,Suitech,Core I5,8.0,8.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,Yoga,25175.0,33000.0,24.0,2026-01-26 17:43:58
311302027,Charliehub254,Core I5,,8.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,X270,15998.0,30000.0,47.0,2026-01-26 17:43:59
325387954,Wynn Enterprise,Core I7,,8.0,,,12.5,Refurbished,Hp,Elitebook,820,18500.0,25000.0,26.0,2026-01-26 17:44:00
9392389,Twendy,Core I5,6.0,8.0,,,14.0,Refurbished,Hp,Elitebook,840,21619.539999999997,46999.0,54.0,2026-01-26 17:44:01
326254290,Tolmo Technology,Core I7,10.0,16.0,512.0,Ssd,13.3,,Hp,Elitebook,830,48000.0,65000.0,26.0,2026-01-26 17:44:03
325937706,Technestke,Core I5,,8.0,500.0,Hdd,,Refurbished,Hp,Elitebook,820,16000.0,43000.0,63.0,2026-01-26 17:44:03
189556031,Westside Computer Hub,Core I5,,16.0,512.0,Ssd,13.0,Refurbished,Apple,Macbook,Pro,29999.0,45000.0,33.0,2026-01-26 17:44:04
325400146,Hamnduenterprise,Core I5,,8.0,256.0,Ssd,12.5,Refurbished,Hp,Elitebook,820,15899.0,20000.0,21.0,2026-01-26 17:44:05
326315990,Unicom Computers,Core I5,8.0,8.0,256.0,Ssd,13.3,,Hp,Elitebook,830,26500.0,32000.0,17.0,2026-01-26 17:46:09
325381728,Nova Africa Entreprise,Core I7-8565U,8.0,16.0,512.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,43000.0,,,2026-01-26 17:47:10
326185225,Geeworld Technologies,Core I5,8.0,8.0,256.0,Ssd,14.0,Refurbished,Lenovo,Thinkpad,T480S,26999.0,40999.0,34.0,2026-01-26 17:47:12
156089300,Charlie Chan,Core I5,,8.0,500.0,Hdd,12.5,Renewed,Hp,Elitebook,820,15410.0,25000.0,38.0,2026-01-26 17:47:12
172364230,Charlie Chan,Core I5-6Th,6.0,8.0,256.0,Ssd,,Refurbished,Dell,,,17100.0,30000.0,43.0,2026-01-26 17:47:13
1964967,Charlie Chan,Core I5,,8.0,500.0,Hdd,,Renewed,Hp,Elitebook,820,15900.0,30000.0,47.0,2026-01-26 17:47:14
326229692,The Mobile Mall Ke,Core I5-10310U,10.0,16.0,256.0,Ssd,14.0,,Hp,Elitebook,840,36999.0,50000.0,26.0,2026-01-26 17:47:15
325589853,Wynn Enterprise,Core I7,,8.0,256.0,Ssd,12.5,Refurbished,Hp,,,17500.0,22000.0,20.0,2026-01-26 17:47:16
161849407,Betty Tech Computers,Core I5,,8.0,,,14.0,Refurbished,,Elitebook,Folio,16999.0,40999.0,59.0,2026-01-26 17:47:18
189491018,Westside Computer Hub,Core I5,,8.0,,,13.0,Refurbished,Apple,Macbook,Pro,23400.0,45000.0,48.0,2026-01-26 17:49:23
325918032,Tech Dg,Core I7,,8.0,256.0,Ssd,,,Hp,Elitebook,840,25000.0,30000.0,17.0,2026-01-26 17:49:25
325762570,Lawre Digital Solutions,Core I5,8.0,8.0,,,12.5,Refurbished,Lenovo,Thinkpad,X280,34499.0,40000.0,14.0,2026-01-26 17:49:27
325632909,Lawre Digital Solutions,Core I5-8300U,8.0,16.0,512.0,Ssd,14.0,,Hp,Elitebook,840,31349.0,40000.0,22.0,2026-01-26 17:49:28
325809404,Washington Investment Computers,,,16.0,512.0,Ssd,15.6,,Dell,,,50000.0,100000.0,50.0,2026-01-26 17:49:59
326645140,Hameda Technologies Shop,Core I5,,8.0,,,14.0,Refurbished,Lenovo,Thinkpad,T450,17999.0,21999.0,18.0,2026-01-26 17:50:00
313545130,Laptoppalace,,8.0,8.0,256.0,Ssd,,Refurbished,Hp,Probook,11G4,22499.0,25000.0,10.0,2026-01-26 17:51:03
325700326,Madtitan Technologies,Core I5,6.0,8.0,256.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,21999.0,30000.0,27.0,2026-01-26 17:51:06
326039659,Geeworld Technologies,Core I5,11.0,16.0,512.0,Ssd,14.0,Refurbished,Lenovo,Thinkpad,T14S,35999.0,54999.0,35.0,2026-01-26 17:51:07
264773328,Symtech Enterprises,Core I5,6.0,8.0,256.0,Ssd,14.0,,Hp,Elitebook,840,28000.0,,,2026-01-26 17:52:08
325970042,Novetech Supplies,Core I5,8.0,16.0,256.0,Ssd,14.0,Refurbished,Hp,Elitebook,X360,33999.0,,,2026-01-26 17:53:09
325400174,Hamnduenterprise,Core I5,6.0,8.0,256.0,Ssd,14.0,Renewed,Hp,Elitebook,840,20999.0,35000.0,40.0,2026-01-26 17:53:11
180863083,Charlie Chan,Core I5,,8.0,500.0,Hdd,14.0,Refurbished,Hp,Elitebook,840,16498.0,29000.0,43.0,2026-01-26 17:53:13
310937081,Charlie Chan,Core I7,,8.0,,,,Refurbished,Hp,Elitebook,820,19249.0,30000.0,36.0,2026-01-26 17:53:14
325605855,Twendy,Core I5,,8.0,256.0,Ssd,12.5,,Hp,Elitebook,820,17999.0,23000.0,22.0,2026-01-26 17:53:15
316948676,Tech Laptops,Core I5,8.0,8.0,256.0,Ssd,11.6,Refurbished,Hp,Probook,X360,20899.0,30000.0,30.0,2026-01-26 17:53:17
322704811,Lawre Digital Solutions,Core I7-16Gb,8.0,16.0,,,14.0,Refurbished,Hp,Elitebook,840,40374.0,50000.0,19.0,2026-01-26 17:54:18
326138299,Mo Electronics.,Core I5,8.0,8.0,256.0,Ssd,12.5,Refurbished,Lenovo,Thinkpad,X280,19950.0,39000.0,49.0,2026-01-26 17:54:19
1857539,Betty Tech Computers,Core I5,,8.0,500.0,Hdd,12.5,Refurbished,,Elitebook,820,15899.470000000001,29999.0,47.0,2026-01-26 17:54:20
313656614,Erick Enterprise,Core I7,8.0,16.0,512.0,Ssd,14.0,,Dell,Latitude,,40100.0,63000.0,36.0,2026-01-26 17:54:21
326378994,Unicom Computers,Core I7,8.0,16.0,256.0,Ssd,12.5,,Lenovo,Thinkpad,X280,26500.0,37500.0,29.0,2026-01-26 17:56:22
325378680,Nova Africa Entreprise,Core I5-8365U,8.0,16.0,512.0,Ssd,13.3,Refurbished,Lenovo,Thinkpad,X390,35000.0,,,2026-01-26 17:57:23
325705111,Novetech Supplies,Core I7-8550U,,16.0,512.0,Ssd,14.0,Refurbished,Hp,Elitebook,840,36000.0,,,2026-01-26 17:58:24
325719043,Zetcomcomputers,Core I7,10.0,16.0,512.0,Ssd,13.3,,,Elitebook,830,45600.0,61000.0,25.0,2026-01-26 17:58:24
306724958,Mictouch Technology Limited,Core I7-10Th,10.0,16.0,512.0,Ssd,14.0,Refurbished,Hp,,,49999.0,70000.0,29.0,2026-01-26 17:58:25
326248744,Trudy Comps,Core I5-8350U,,8.0,256.0,Ssd,12.5,,Lenovo,Thinkpad,X280,18999.0,37999.0,50.0,2026-01-26 17:58:57
282221882,Wasini Technologies,Core I5,,8.0,,,,Refurbished,Hp,Elitebook,840,16399.0,23000.0,29.0,2026-01-26 17:58:58
10028019,Digitech Computers,Core I5,,8.0,256.0,Ssd,13.0,,Apple,Macbook,Pro,19600.0,28000.0,30.0,2026-01-26 17:58:59
325550509,Lawre Digital Solutions,Core I5-8300U,8.0,8.0,256.0,Ssd,14.0,,Hp,Elitebook,840,27074.0,40000.0,32.0,2026-01-26 17:59:02
1291503,Wain Collection,Core I5,7.0,8.0,256.0,Ssd,14.0,Refurbished,Lenovo,,,27900.0,40998.0,32.0,2026-01-26 17:59:03
325308046,Disktech Systems,Core I5,10.0,8.0,128.0,Ssd,,Refurbished,Hp,Probook,X360,19999.0,25000.0,20.0,2026-01-26 17:59:04
314929480,Jultech Technologies,Core I7-8350U,,16.0,256.0,Ssd,,Refurbished,Dell,Latitude,,30000.0,48000.0,38.0,2026-01-26 17:59:05
325682556,Novetech Supplies,Ryzen 5,,16.0,512.0,Ssd,14.0,Refurbished,Hp,Elitebook,845,35999.0,,,2026-01-26 18:00:06
314055012,Phonelegit Kenya,Core I5,6.0,8.0,256.0,Ssd,14.0,Refurbished,Hp,Probook,640,17299.0,25000.0,31.0,2026-01-26 18:00:09
251775598,Lantel  System,Core I5-8Th,8.0,16.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,T480,25499.0,38000.0,33.0,2026-01-26 18:00:10
313924172,Phonelegit Kenya,Core I5-8Th,8.0,16.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,X390,24999.0,32000.0,22.0,2026-01-26 18:00:11
325596495,Reydigital1,Core I5,,8.0,256.0,Ssd,,Refurbished,Hp,Elitebook,840G1,16500.0,19500.0,15.0,2026-01-26 18:00:12
325718920,Suitech,Core I7,10.0,16.0,512.0,Ssd,13.3,Refurbished,Hp,Elitebook,830,48200.0,59900.0,20.0,2026-01-26 18:00:13
319044475,Fourkcomputers,Core I5,8.0,8.0,128.0,Ssd,11.6,Refurbished,Hp,Probook,X360,19499.0,,,2026-01-26 18:01:44
1702436,Charlie Chan,Core I5,8.0,8.0,256.0,Ssd,12.5,,Lenovo,Thinkpad,X280,18020.0,34000.0,47.0,2026-01-26 18:02:46
325676255,Lola Tech,Core I5,8.0,16.0,256.0,Ssd,13.3,Refurbished,Lenovo,Thinkpad,X390,29925.0,40000.0,25.0,2026-01-26 18:02:46
9545299,Digitech Computers,Core I5,,8.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,X270,18022.329999999998,26899.0,33.0,2026-01-26 18:02:47
326643582,Hameda Technologies Shop,Core I5-8Th,8.0,8.0,256.0,Ssd,,Refurbished,Lenovo,Thinkpad,X390,20999.0,29999.0,30.0,2026-01-26 18:02:48
325459283,Lantel  System,Core I5,10.0,8.0,256.0,Ssd,11.6,Refurbished,Hp,Probook,X360,21999.0,30000.0,27.0,2026-01-26 18:02:50
326555409,Betty Tech Computers,Core I5,,8.0,500.0,Hdd,13.0,Refurbished,,Macbook,Pro,18199.0,24999.0,27.0,2026-01-26 18:02:51
322709867,Lawre Digital Solutions,Core I7-16Gb,8.0,16.0,,,14.0,Refurbished,Hp,Elitebook,840,40374.0,50000.0,19.0,2026-01-26 18:02:51
